"survey_dt_gmt","polyid","glacier_name","counting_method","num_seals","off_image_count","standard_error","stockid","stockname","survey_date"
2017-06-23 23:47:00,"DF10","John Hopkins Inlet","LATTE",1714.377,NA,135.282591,8,"Glacier Bay/Icy Strait",2017-06-23
2017-06-27 21:16:00,"DF10","John Hopkins Inlet","LATTE",1341.213,NA,120.722143,8,"Glacier Bay/Icy Strait",2017-06-27
2017-08-29 20:41:00,"DF10","John Hopkins Inlet","LATTE",1000.851,NA,29.196653,8,"Glacier Bay/Icy Strait",2017-08-29
2017-09-03 20:45:00,"DF10","John Hopkins Inlet","LATTE",1287.148,NA,137.822862,8,"Glacier Bay/Icy Strait",2017-09-03
2017-09-05 19:52:00,"DF10","John Hopkins Inlet","LATTE",354.383,NA,46.792569,8,"Glacier Bay/Icy Strait",2017-09-05
2007-08-12 16:10:24,"DF29","McBride Glacier","Oblique visual count",14,NA,NA,8,"Glacier Bay/Icy Strait",2007-08-12
2007-08-13 15:55:41,"DF29","McBride Glacier","Oblique visual count",66,NA,NA,8,"Glacier Bay/Icy Strait",2007-08-13
2007-08-14 16:17:34,"DF29","McBride Glacier","Oblique visual count",99,NA,NA,8,"Glacier Bay/Icy Strait",2007-08-14
2007-08-15 17:01:33,"DF29","McBride Glacier","Oblique visual count",95,NA,NA,8,"Glacier Bay/Icy Strait",2007-08-15
2007-08-16 17:22:37,"DF29","McBride Glacier","Oblique visual count",123,NA,NA,8,"Glacier Bay/Icy Strait",2007-08-16
2008-07-31 15:42:24,"DF29","McBride Glacier","Oblique visual count",18,NA,NA,8,"Glacier Bay/Icy Strait",2008-07-31
2008-08-04 18:03:14,"DF29","McBride Glacier","Oblique visual count",101,NA,NA,8,"Glacier Bay/Icy Strait",2008-08-04
2008-08-05 19:00:13,"DF29","McBride Glacier","Oblique visual count",136,NA,NA,8,"Glacier Bay/Icy Strait",2008-08-05
2008-08-06 20:36:33,"DF29","McBride Glacier","Oblique visual count",112,NA,NA,8,"Glacier Bay/Icy Strait",2008-08-06
2008-08-07 19:21:04,"DF29","McBride Glacier","Oblique visual count",153,NA,NA,8,"Glacier Bay/Icy Strait",2008-08-07
2009-08-05 15:53:50,"DF29","McBride Glacier","Oblique visual count",33,NA,NA,8,"Glacier Bay/Icy Strait",2009-08-05
2009-08-06 16:42:04,"DF29","McBride Glacier","Oblique visual count",96,NA,NA,8,"Glacier Bay/Icy Strait",2009-08-06
2009-08-18 15:59:01,"DF29","McBride Glacier","Oblique visual count",72,NA,NA,8,"Glacier Bay/Icy Strait",2009-08-18
2009-08-19 15:44:06,"DF29","McBride Glacier","Oblique visual count",166,NA,NA,8,"Glacier Bay/Icy Strait",2009-08-19
2009-08-20 16:29:50,"DF29","McBride Glacier","Oblique visual count",172,NA,NA,8,"Glacier Bay/Icy Strait",2009-08-20
2010-08-12 18:27:11,"DF29","McBride Glacier","Oblique visual count",58,NA,NA,8,"Glacier Bay/Icy Strait",2010-08-12
2010-08-13 18:23:09,"DF29","McBride Glacier","Oblique visual count",119,NA,NA,8,"Glacier Bay/Icy Strait",2010-08-13
2010-08-24 16:38:57,"DF29","McBride Glacier","Oblique visual count",130,NA,NA,8,"Glacier Bay/Icy Strait",2010-08-24
2011-08-01 17:48:43,"DF29","McBride Glacier","Oblique visual count",28,NA,NA,8,"Glacier Bay/Icy Strait",2011-08-01
2011-08-14 16:22:55,"DF29","McBride Glacier","Oblique visual count",118,NA,NA,8,"Glacier Bay/Icy Strait",2011-08-14
2012-08-01 16:46:22,"DF29","McBride Glacier","Oblique visual count",129,NA,NA,8,"Glacier Bay/Icy Strait",2012-08-01
2012-08-16 15:52:41,"DF29","McBride Glacier","Oblique visual count",154,NA,NA,8,"Glacier Bay/Icy Strait",2012-08-16
2012-08-19 16:51:03,"DF29","McBride Glacier","Oblique visual count",198,NA,NA,8,"Glacier Bay/Icy Strait",2012-08-19
2012-08-20 17:20:04,"DF29","McBride Glacier","Oblique visual count",212,NA,NA,8,"Glacier Bay/Icy Strait",2012-08-20
2013-08-07 17:09:00,"DF29","McBride Glacier","Oblique visual count",103,NA,NA,8,"Glacier Bay/Icy Strait",2013-08-07
2013-08-11 18:45:45,"DF29","McBride Glacier","Oblique visual count",221,NA,NA,8,"Glacier Bay/Icy Strait",2013-08-11
2013-08-12 20:39:02,"DF29","McBride Glacier","Oblique visual count",207,NA,NA,8,"Glacier Bay/Icy Strait",2013-08-12
2014-08-22 16:07:52,"DF29","McBride Glacier","Oblique visual count",146,NA,NA,8,"Glacier Bay/Icy Strait",2014-08-22
2016-08-21 19:50:00,"DF29","McBride Glacier","Oblique visual count",230,NA,NA,8,"Glacier Bay/Icy Strait",2016-08-21
2016-08-22 18:16:00,"DF29","McBride Glacier","Oblique visual count",179,NA,NA,8,"Glacier Bay/Icy Strait",2016-08-22
2016-09-01 17:42:00,"DF29","McBride Glacier","Oblique visual count",117,NA,NA,8,"Glacier Bay/Icy Strait",2016-09-01
2016-09-02 18:01:00,"DF29","McBride Glacier","Oblique visual count",184,NA,NA,8,"Glacier Bay/Icy Strait",2016-09-02
2017-08-08 17:54:00,"DF29","McBride Glacier","Oblique visual count",91,NA,NA,8,"Glacier Bay/Icy Strait",2017-08-08
2017-08-09 17:18:00,"DF29","McBride Glacier","Oblique visual count",109,NA,NA,8,"Glacier Bay/Icy Strait",2017-08-09
2017-08-10 17:38:00,"DF29","McBride Glacier","Oblique visual count",216,NA,NA,8,"Glacier Bay/Icy Strait",2017-08-10
2017-08-26 19:40:00,"DF29","McBride Glacier","Oblique visual count",51,NA,NA,8,"Glacier Bay/Icy Strait",2017-08-26
2001-08-16 20:02:00,"EF11","Disenchantment Bay","AeroMap",1295,NA,NA,6,"Prince William Sound",2001-08-16
2002-08-10 21:28:30,"EF11","Disenchantment Bay","Oblique visual count",548,NA,NA,6,"Prince William Sound",2002-08-10
2002-08-13 23:39:00,"EF11","Disenchantment Bay","Oblique visual count",325,NA,NA,6,"Prince William Sound",2002-08-13
2002-08-15 00:02:00,"EF11","Disenchantment Bay","AeroMap",1779,NA,NA,6,"Prince William Sound",2002-08-14
2002-08-17 00:23:00,"EF11","Disenchantment Bay","AeroMap",1729,NA,NA,6,"Prince William Sound",2002-08-16
2004-05-03 22:57:18,"EF11","Disenchantment Bay","LATTE",1109.409,NA,198.9762,6,"Prince William Sound",2004-05-03
2004-05-05 21:38:31,"EF11","Disenchantment Bay","LATTE",925.327,NA,258.4989,6,"Prince William Sound",2004-05-05
2004-05-07 21:36:03,"EF11","Disenchantment Bay","LATTE",1068.831,NA,149.429,6,"Prince William Sound",2004-05-07
2004-05-10 22:02:21,"EF11","Disenchantment Bay","LATTE",890.591,NA,152.3009,6,"Prince William Sound",2004-05-10
